Time (s),A-output,B-output
1.06,0.064177,-0.107654
1.065,0.04073,-0.086709
1.07,0.046208,-0.043243
1.075,0.020163,-0.010814
1.08,-0.035171,-0.054981
1.085,-0.050889,-0.081398
1.09,-0.048861,-0.033264
1.095,-0.0478,0.029126
1.1,-0.081371,0.068495
1.105,-0.082884,0.025993
1.11,-0.062832,0.026156
1.115,-0.049151,0.050696
1.12,-0.068393,0.067976
1.125,-0.095979,0.084829
1.13,-0.077163,0.045462
1.135,-0.071199,0.016798
1.14,-0.097497,0.007422
1.145,-0.141381,0.042642
1.15,-0.136564,0.03255
1.155,-0.109622,-0.002994
1.16,-0.120347,-0.002688
1.165,-0.136163,0.033515
1.17,-0.149909,0.09826
1.175,-0.125911,0.114275
1.18,-0.11694,0.095321
1.185,-0.132057,0.067449
1.19,-0.144343,0.064267
1.195,-0.135451,0.063095
1.2,-0.104478,0.055005
1.205,-0.115631,0.062291
1.21,-0.134132,0.07756
1.215,-0.144956,0.103092
1.22,-0.137191,0.117052
1.225,-0.134173,0.112623
1.23,-0.142859,0.109722
1.235,-0.138384,0.098952
1.24,-0.13518,0.082667
1.245,-0.123707,0.03772
1.25,-0.115769,0.005843
1.255,-0.092725,0.013555
1.26,-0.067499,-0.023923
1.265,-0.048203,-0.013369
1.27,-0.034344,0.04464
1.275,-0.026759,0.024697
1.28,-0.073846,0.007944
1.285,-0.135063,0.017588
1.29,-0.150315,0.04413
1.295,-0.141139,0.068605
1.3,-0.119082,0.085361
1.305,-0.094199,0.079212
1.31,-0.042513,0.053366
1.315,0.020387,0.023654
1.32,0.068484,-0.03241
1.325,0.083462,-0.003665
1.33,0.106726,0.02893
1.335,0.10831,0.075377
1.34,0.066637,0.098592
1.345,0.022653,0.066575
1.35,0.008968,0.068473
1.355,0.045645,0.03849
1.36,0.043864,0.04614
1.365,0.045322,0.017397
1.37,0.087913,-0.008876
1.375,0.156666,-0.018716
1.38,0.197627,-0.027677
1.385,0.184475,-0.034327
1.39,0.200483,-0.101053
1.395,0.192063,-0.101459
1.4,0.185548,-0.123529
1.405,0.144555,-0.14779
1.41,0.09994,-0.123108
1.415,0.101328,-0.11856
1.42,0.112051,-0.117548
1.425,0.131729,-0.12764
1.43,0.138531,-0.124982
1.435,0.160032,-0.134292
1.44,0.183491,-0.125646
1.445,0.20146,-0.121393
1.45,0.198077,-0.116349
1.455,0.187941,-0.098244
1.46,0.169919,-0.09883
1.465,0.132828,-0.100552
1.47,0.101608,-0.092912
1.475,0.07894,-0.056981
1.48,0.062242,-0.048959
1.485,0.052387,-0.050392
1.49,0.035854,-0.018388
1.495,0.025753,-0.016834
1.5,0.021551,-0.027998
1.505,0.026536,0.00772
1.51,0.089932,0.024763
1.515,0.117282,0.035751
1.52,0.09587,0.030463
1.525,0.057609,0.014909
1.53,0.039221,-0.006241
1.535,0.01984,-0.00722
1.54,-0.04415,0.04549
1.545,-0.07749,0.045668
1.55,-0.098897,0.046113
1.555,-0.083038,0.046255
1.56,-0.062562,0.087639
1.565,-0.055542,0.134038
1.57,-0.030107,0.126213
1.575,-0.013521,0.068859
1.58,-0.018541,-0.000992
1.585,-0.06545,0.057156
1.59,-0.095023,0.149127
1.595,-0.091736,0.172563
1.6,-0.091207,0.099713
1.605,-0.116638,0.029049
1.61,-0.143424,0.036768
1.615,-0.119066,0.079119
1.62,-0.09293,0.086079
1.625,-0.082218,-0.013317
1.63,-0.102427,-0.066656
1.635,-0.105043,-0.043147
1.64,-0.089135,0.007917
1.645,-0.095682,0.041453
1.65,-0.116114,0.027092
1.655,-0.141839,0.037012
1.66,-0.142003,0.059494
1.665,-0.158486,0.087611
1.67,-0.166296,0.073894
1.675,-0.162826,0.040978
