Time (s),A-output,B-output
4.520196,-0.147078,0.165242
4.525196,-0.116502,0.197574
4.530196,-0.092239,0.209794
4.535196,-0.080027,0.156365
4.540196,-0.020716,0.080917
4.545196,0.052924,0.101343
4.550196,0.10065,0.132064
4.555196,0.087631,0.16662
4.560196,0.078667,0.120384
4.565196,0.084765,0.028418
4.570196,0.069539,-0.013598
4.575196,0.041754,-0.029108
4.580196,0.011488,-0.013822
4.585196,0.041489,-0.067512
4.590196,0.060669,-0.081049
4.595196,0.068832,-0.078005
4.600196,0.105996,-0.040556
4.605196,0.146827,0.001954
4.610196,0.197584,-0.020691
4.615196,0.196277,-0.022817
4.620196,0.203187,-0.060749
4.625196,0.189724,-0.01335
4.630196,0.168143,-0.001216
4.635196,0.144768,-0.041648
4.640196,0.116355,-0.035992
4.645196,0.115247,-0.033501
4.650196,0.110733,0.000429
4.655196,0.126803,-0.018633
4.660196,0.1371,-0.018397
4.665196,0.166279,-0.005014
4.670196,0.189741,-0.010183
4.675196,0.189417,-0.025121
4.680196,0.179466,-0.070516
4.685196,0.17365,-0.091163
4.690196,0.164804,-0.082576
4.695196,0.135184,-0.070797
4.700196,0.101095,-0.083128
4.705196,0.076689,-0.094981
4.710196,0.067323,-0.084012
4.715196,0.061429,-0.054223
4.720196,0.039922,-0.024184
4.725196,0.024953,-0.106343
4.730196,0.035635,-0.206469
4.735196,0.045478,-0.16795
4.740196,0.087246,-0.152745
4.745196,0.111286,-0.130104
4.750196,0.102784,-0.0883
4.755196,0.077571,-0.071867
4.760196,0.061355,-0.052821
4.765196,0.051958,-0.059269
4.770196,-0.010938,-0.029356
4.775196,-0.060702,-0.01262
4.780196,-0.089249,-0.014985
4.785196,-0.072235,-0.053062
4.790196,-0.055348,-0.107729
4.795196,-0.070585,-0.109916
4.800196,-0.060723,-0.058317
4.805196,-0.044674,0.019569
4.810196,-0.027913,0.017886
4.815196,-0.054691,0.006313
4.820196,-0.084352,-0.008708
4.825196,-0.086161,0.008085
4.830196,-0.091474,0.050424
4.835196,-0.109489,0.036988
4.840196,-0.138764,0.014392
4.845196,-0.12797,0.007742
4.850196,-0.118399,0.055846
4.855196,-0.111887,0.056726
4.860196,-0.116914,0.028734
4.865196,-0.115489,0.016689
4.870196,-0.102713,0.047445
4.875196,-0.114325,0.092288
4.880196,-0.129483,0.085876
4.885196,-0.145409,0.059797
4.890196,-0.141186,0.020818
4.895196,-0.153411,0.034803
4.900196,-0.16877,0.05176
4.905196,-0.162451,0.047873
4.910196,-0.158412,0.04086
4.915196,-0.149601,0.030795
4.920196,-0.145597,0.050743
4.925196,-0.137317,0.074154
4.930196,-0.129713,0.084753
4.935196,-0.119884,0.057525
4.940196,-0.1054,0.042015
4.945196,-0.100729,0.049953
4.950196,-0.08613,0.035921
4.955196,-0.066287,0.06553
4.960196,-0.061034,0.163186
4.965196,-0.037023,0.163869
4.970196,-0.043156,0.131397
4.975196,-0.11261,0.140655
4.980196,-0.149769,0.126764
4.985196,-0.126635,0.101566
4.990196,-0.102481,0.061743
4.995196,-0.093559,0.066728
4.995393,-0.040633,0.076177
5.000393,0.020694,0.097787
5.005393,0.064602,0.060815
5.010393,0.073983,0.026808
5.015393,0.070145,0.052442
5.020393,0.088866,0.045718
5.025393,0.071942,0.042193
5.030393,0.046278,0.015071
5.035393,0.019075,0.041064
5.040393,0.041716,0.085341
5.045393,0.058927,0.111741
5.050393,0.050692,0.082849
5.055393,0.094844,0.020291
5.060393,0.151745,0.02802
5.065393,0.199956,0.030411
5.070393,0.186992,0.074012
5.075393,0.186367,0.039826
5.080393,0.20213,0.028209
5.085393,0.187339,0.063264
5.090393,0.161043,0.036619
5.095393,0.123907,0.012424
5.100393,0.11937,-0.055068
5.105393,0.121161,-0.061414
5.110393,0.131348,-0.075185
5.115393,0.131585,-0.095912
5.120393,0.140348,-0.105562
5.125393,0.173783,-0.116043
5.130393,0.187995,-0.105754
5.135393,0.191896,-0.104318
5.140393,0.186155,-0.101767
5.145393,0.17714,-0.124901
5.150393,0.14859,-0.140136
5.155393,0.113747,-0.137359
5.160393,0.084395,-0.120077
5.165393,0.06604,-0.07444
5.170393,0.054018,-0.039447
5.175393,0.028652,-0.086779
5.180393,0.017637,-0.159449
5.185393,0.04136,-0.253072
5.190393,0.039302,-0.269523
5.195393,0.056517,-0.231509
5.200393,0.105844,-0.22203
5.205393,0.119423,-0.181216
5.210393,0.097627,-0.172571
5.215393,0.05905,-0.15487
5.220393,0.041386,-0.144735
5.225393,-0.003931,-0.1322
5.230393,-0.045592,-0.118279
5.235393,-0.073163,-0.092923
5.240393,-0.078021,-0.092509
5.245393,-0.05843,-0.105712
5.250393,-0.061469,-0.078595
5.255393,-0.046261,-0.035767
5.260393,-0.036374,0.018266
5.265393,-0.020752,-0.01216
5.270393,-0.042316,-0.069952
5.275393,-0.077138,-0.108977
5.280393,-0.090497,-0.131458
5.285393,-0.122091,-0.109667
5.290393,-0.142398,-0.070164
5.295393,-0.16097,-0.017287
5.300393,-0.141894,-0.016085
5.305393,-0.128822,-0.001823
5.310393,-0.129406,0.041828
5.315393,-0.122221,0.057551
5.320393,-0.115923,0.040909
5.325393,-0.102742,0.02379
5.330393,-0.11795,0.050099
5.335393,-0.130527,0.051863
5.340393,-0.142518,0.056112
5.345393,-0.139675,0.024139
5.350393,-0.143814,-0.003505
5.355393,-0.169349,0.014377
5.360393,-0.166131,0.026267
5.365393,-0.15586,0.059215
5.370393,-0.1366,0.081802
5.375393,-0.135284,0.080933
5.380393,-0.134068,0.067742
5.385393,-0.122063,0.055132
5.390393,-0.113632,0.048722
5.395393,-0.103675,0.055399
5.400393,-0.111645,0.034288
5.405393,-0.094824,0.002562
5.410393,-0.062953,0.011554
5.415393,-0.051872,0.093273
5.420393,-0.035613,0.097929
5.425393,-0.033388,0.035828
5.430393,-0.097219,0.046317
5.435393,-0.14186,0.058168
5.440393,-0.117323,0.058337
5.445393,-0.094738,0.035841
5.450393,-0.101399,0.008551
5.455393,-0.07012,-0.033
5.460393,-0.010645,-0.016138
5.465393,0.055678,0.021036
5.470393,0.081689,0.024308
5.475393,0.072632,0.043935
5.480393,0.091615,0.021272
5.485393,0.078559,0.073045
5.490393,0.05217,0.124943
5.495393,0.02065,0.154282
5.500393,0.025638,0.147412
5.505393,0.060948,0.090699
5.510393,0.064066,0.072947
5.515393,0.099253,0.026584
5.520393,0.140525,0.012399
5.525393,0.187257,-0.034919
5.530393,0.194275,-0.055373
5.535393,0.185356,-0.080317
5.540393,0.205405,-0.082512
5.545393,0.178346,-0.051495
5.550393,0.157655,-0.105395
5.555393,0.120822,-0.131717
5.560393,0.111203,-0.14598
5.565393,0.113293,-0.137184
5.570393,0.108599,-0.142222
5.575393,0.111912,-0.138945
5.580393,0.129973,-0.106437
5.585393,0.177023,-0.094147
5.590393,0.1898,-0.083975
5.595393,0.183669,-0.093822
5.600393,0.17561,-0.09632
5.605393,0.171777,-0.091938
5.610393,0.1509,-0.070836
5.615393,0.116732,-0.055605
5.620393,0.087268,-0.062637
5.625393,0.071517,-0.03481
5.630393,0.05962,-0.009119
5.635393,0.041981,-0.014297
5.640393,0.038887,-0.006138
5.645393,0.046079,-0.067612
5.650393,0.015693,-0.075857
5.655393,0.018223,-0.015613
5.660393,0.081534,-0.033452
5.665393,0.100588,-0.074444
5.670393,0.082233,-0.104545
5.675393,0.050883,-0.066646
5.680393,0.041465,-0.026864
5.685393,0.00223,-0.036155
5.690393,-0.045581,-0.093059
5.695393,-0.052022,-0.123846
5.700393,-0.049951,-0.046068
5.705393,-0.042349,0.049334
5.710393,-0.064046,0.073164
5.715393,-0.050763,0.010133
5.720393,-0.033006,-0.023617
5.725393,-0.028348,-0.023825
5.730393,-0.05245,0.005548
5.735393,-0.087096,0.019171
5.740393,-0.07683,-0.03636
5.745393,-0.082723,-0.072386
5.750393,-0.106793,-0.062713
5.755393,-0.143457,-0.038699
5.760393,-0.134612,-0.07051
5.765393,-0.113687,-0.096574
5.770393,-0.121082,-0.056342
5.775393,-0.131109,0.025391
5.780393,-0.139827,0.087388
5.785393,-0.117265,0.099252
5.790393,-0.110871,0.093841
5.795393,-0.1278,0.076798
5.800393,-0.146257,0.074356
5.805393,-0.147239,0.034411
5.810393,-0.131378,0.003849
5.815393,-0.141212,0.029538
5.820393,-0.152716,0.054004
5.825393,-0.159874,0.095459
5.830393,-0.144083,0.110985
5.835393,-0.133615,0.096913
5.840393,-0.132344,0.080593
5.845393,-0.123697,0.071776
5.850393,-0.12079,0.072752
5.855393,-0.114216,0.059604
5.860393,-0.111236,0.028991
5.865393,-0.090183,0.033607
5.870393,-0.067649,0.057284
5.875393,-0.057496,0.098691
5.880393,-0.041627,0.117894
5.885393,-0.027865,0.081238
5.890393,-0.080532,0.086959
5.895393,-0.141034,0.097811
5.900393,-0.136869,0.106698
5.905393,-0.105697,0.10976
5.910393,-0.098485,0.094209
5.915393,-0.071315,0.080387
5.920393,-0.006451,0.091539
5.925393,0.054387,0.095308
5.930393,0.080963,0.038083
5.935393,0.080598,0.008257
5.940393,0.107678,0.005046
5.945393,0.100971,0.065458
5.950393,0.064015,0.071586
5.955393,0.021844,0.013624
5.960393,0.021827,-0.039429
5.965393,0.063399,-0.08684
5.970393,0.056891,-0.051671
5.975393,0.073395,-0.050753
5.980393,0.11851,-0.046149
5.985393,0.178499,-0.038225
5.990393,0.207852,0.012122
5.995393,0.189485,0.028825
6.000393,0.190791,0.018582
6.005393,0.170919,0.053834
6.010393,0.168739,0.011315
6.015393,0.138846,0.021064
6.020393,0.113398,0.030452
6.025393,0.115198,0.012011
6.030393,0.122177,-0.009508
6.035393,0.137348,-0.015386
6.040393,0.139161,0.021413
6.045393,0.171459,0.00729
6.050393,0.188805,-0.036371
6.055393,0.194,-0.083555
6.060393,0.191111,-0.094424
6.065393,0.182968,-0.077006
6.070393,0.159293,-0.076166
6.075393,0.119753,-0.084225
6.080393,0.089058,-0.081113
6.085393,0.073293,-0.041205
6.090393,0.059014,-0.03051
6.095393,0.044204,-0.040871
6.100393,0.042709,-0.003638
6.105393,0.045686,-0.018838
6.110393,0.016227,-0.04989
6.115393,0.017874,-0.008487
6.120393,0.085106,0.020781
6.125393,0.102805,0.015919
6.130393,0.080879,-0.01042
6.135393,0.045192,-0.025755
6.140393,0.036227,-0.082157
6.145393,0.006347,-0.107388
6.150393,-0.045296,-0.101171
6.155393,-0.05301,-0.119441
6.160393,-0.062018,-0.058862
6.165393,-0.07168,-0.024593
6.170393,-0.088213,-0.012539
6.175393,-0.074789,-0.048386
6.180393,-0.0406,-0.045856
6.185393,-0.022683,-0.027806
6.190393,-0.043918,-0.023857
6.195393,-0.081682,0.038191
6.200393,-0.0744,0.065168
6.205393,-0.068992,0.083716
6.210393,-0.085969,0.082555
6.215393,-0.127633,0.090268
6.220393,-0.138153,0.076428
6.225393,-0.113936,0.03776
6.230393,-0.115677,0.038195
6.235393,-0.128768,0.05691
6.240393,-0.144568,0.104925
6.245393,-0.126033,0.141709
6.250393,-0.113085,0.150501
6.255393,-0.125943,0.098587
6.260393,-0.141858,0.065683
6.265393,-0.145625,0.084057
6.270393,-0.130593,0.094654
6.275393,-0.142624,0.123665
6.280393,-0.157038,0.106747
6.285393,-0.163872,0.082791
6.290393,-0.149998,0.076577
6.295393,-0.136749,0.082772
6.300393,-0.133766,0.097298
6.305393,-0.124791,0.094643
6.310393,-0.116973,0.073842
6.315393,-0.105479,0.033392
6.320393,-0.106277,0.009149
6.325393,-0.098773,0.00891
6.330393,-0.081261,-0.052968
6.335393,-0.067542,-0.060601
6.340393,-0.060313,0.036797
6.345393,-0.050923,0.063613
6.350393,-0.096144,0.052648
6.355393,-0.152196,0.01928
6.360393,-0.152241,0.006897
6.365393,-0.119668,0.033276
6.370393,-0.104736,0.058632
6.375393,-0.083997,0.059022
6.380393,-0.023138,0.013692
6.385393,0.032708,0.017888
6.390393,0.076076,0.004906
6.395393,0.085585,0.037783
6.400393,0.100827,0.074523
6.405393,0.092889,0.086453
6.410393,0.059854,0.074274
6.415393,0.029637,0.068409
6.420393,0.022868,0.080809
6.425393,0.059516,0.021856
6.430393,0.053598,0.004829
6.435393,0.062928,-0.023434
6.440393,0.106926,-0.032661
6.445393,0.158788,-0.054925
6.450393,0.188461,-0.06955
6.455393,0.174658,-0.079938
6.460393,0.191581,-0.129787
6.465393,0.188999,-0.103291
6.470393,0.180835,-0.117531
6.475393,0.139352,-0.130746
6.480393,0.101176,-0.110126
6.485393,0.103365,-0.084812
6.490393,0.112336,-0.048776
6.495393,0.124546,-0.052075
6.500393,0.124034,-0.040144
6.505393,0.15412,-0.054017
6.510393,0.181755,-0.065038
6.515393,0.198914,-0.058724
6.520393,0.196993,-0.068682
6.525393,0.183573,-0.074148
6.530393,0.167053,-0.083764
6.535393,0.141494,-0.093213
6.540393,0.109441,-0.085092
6.545393,0.083823,-0.056565
6.550393,0.064016,-0.048421
6.555393,0.044217,-0.039507
6.560393,0.023307,-0.005028
6.565393,0.008045,-0.026587
6.570393,0.000486,-0.080061
6.575393,0.014503,-0.066863
6.580393,0.07894,-0.03939
6.585393,0.109358,-0.007763
6.590393,0.092487,-0.007023
6.595393,0.058177,-0.031454
6.600393,0.04656,-0.063563
6.605393,0.0337,-0.053695
6.610393,-0.022682,0.023835
6.615393,-0.061817,0.011808
6.620393,-0.082225,0.006072
6.625393,-0.069968,0.005813
6.630393,-0.067729,0.015701
6.635393,-0.062467,0.021409
6.640393,-0.035547,0.0108
6.645393,-0.015823,-0.019689
6.650393,-0.026053,-0.051697
6.655393,-0.066317,0.049186
6.660393,-0.074419,0.129297
6.665393,-0.073222,0.122561
6.670393,-0.077204,0.021854
6.675393,-0.116265,-0.031836
6.680393,-0.137669,0.004088
6.685393,-0.113567,0.028643
6.690393,-0.10333,0.033606
6.695393,-0.102358,0.002526
6.700393,-0.123141,0.028864
6.705393,-0.121311,0.049665
6.710393,-0.10887,0.044657
6.715393,-0.113788,0.017336
6.720393,-0.124986,0.001616
6.725393,-0.145813,0.056485
6.730393,-0.138299,0.107365
6.735393,-0.143634,0.121402
6.740393,-0.150866,0.090988
6.745393,-0.154699,0.081724
6.750393,-0.154283,0.102316
6.755393,-0.143587,0.117345
6.760393,-0.139842,0.117976
6.765393,-0.126945,0.098099
6.770393,-0.119238,0.081155
6.775393,-0.112068,0.048818
6.780393,-0.111025,0.020286
6.785393,-0.103837,0.023739
6.790393,-0.081704,0.051883
6.795393,-0.064935,0.132811
6.800393,-0.063939,0.249246
6.805393,-0.054174,0.264286
6.810393,-0.08571,0.220756
6.815393,-0.136146,0.162798
6.820393,-0.139542,0.14489
6.825393,-0.106945,0.182547
6.830393,-0.08999,0.188826
6.835393,-0.080844,0.150471
6.840393,-0.024863,0.084566
6.845393,0.047273,0.078409
6.850393,0.092704,0.06331
6.855393,0.080708,0.063394
6.860393,0.072955,0.010548
6.865393,0.080401,-0.052144
6.870393,0.067046,-0.053119
6.875393,0.036982,-0.038572
6.880393,0.008385,-0.012511
6.885393,0.04332,-0.049751
6.890393,0.058667,-0.012399
6.895393,0.072987,0.036242
6.900393,0.105578,0.068483
6.905393,0.149303,0.0909
6.910393,0.19909,0.058167
6.915393,0.19658,0.051839
6.920393,0.211455,0.008126
6.925393,0.19654,0.032042
6.930393,0.170747,0.025818
6.935393,0.141185,-0.016807
6.940393,0.115199,-0.008313
6.945393,0.117383,-0.006571
6.950393,0.117353,0.000399
6.955393,0.129329,-0.048787
6.960393,0.13823,-0.084457
6.965393,0.167064,-0.104832
6.970393,0.183976,-0.092461
6.975393,0.186241,-0.084637
6.980393,0.177225,-0.114803
6.985393,0.167246,-0.114654
6.990393,0.161419,-0.099165
6.995393,0.130325,-0.092564
7.000393,0.094882,-0.097083
7.005393,0.073775,-0.090778
7.010393,0.06388,-0.078179
7.015393,0.057638,-0.051488
7.020393,0.04285,-0.067717
7.025393,0.021775,-0.192869
7.030393,0.021534,-0.268013
7.035393,0.031847,-0.234719
7.040393,0.076234,-0.225637
7.045393,0.10007,-0.193528
7.050393,0.083114,-0.172999
7.055393,0.053597,-0.180066
7.060393,0.043142,-0.167268
7.065393,0.033255,-0.15348
7.070393,-0.02761,-0.121329
7.075393,-0.073298,-0.140168
7.080393,-0.085385,-0.1166
7.085393,-0.057861,-0.074451
7.090393,-0.052818,-0.036799
7.095393,-0.066325,-0.000372
7.100393,-0.045195,0.026041
7.105393,-0.024978,0.051993
7.110393,-0.028402,0.026752
7.115393,-0.067736,0.064012
7.120393,-0.087541,0.132649
7.125393,-0.081562,0.163853
7.130393,-0.077487,0.11415
7.135393,-0.107031,0.061583
7.140393,-0.137142,0.072738
7.145393,-0.116557,0.093189
7.150393,-0.100532,0.121318
7.155393,-0.10571,0.063996
7.160393,-0.134651,0.007936
7.165393,-0.133664,-0.002795
7.170393,-0.109162,0.022284
7.175393,-0.110347,0.060216
7.180393,-0.123001,0.06107
7.185393,-0.140575,0.060013
7.190393,-0.133277,0.064214
7.195393,-0.140295,0.09393
7.200393,-0.147412,0.094815
7.205393,-0.148123,0.090214
7.210393,-0.153819,0.085262
7.215393,-0.148394,0.070859
7.220393,-0.141836,0.063802
7.225393,-0.131202,0.05832
7.230393,-0.124788,0.059049
7.235393,-0.116256,0.025852
7.240393,-0.10562,0.003683
7.245393,-0.096609,0.02661
7.250393,-0.078637,0.084194
7.255393,-0.060127,0.198725
7.260393,-0.059849,0.305353
7.265393,-0.048309,0.270816
7.270393,-0.065468,0.206848
7.275393,-0.121291,0.179426
7.280393,-0.146101,0.147256
7.285393,-0.128507,0.112853
7.290393,-0.109239,0.075085
7.295393,-0.089617,0.069882
7.300393,-0.020616,0.056832
7.305393,0.044735,0.061562
7.310393,0.082039,0.047587
7.315393,0.076367,0.062547
7.320393,0.069444,0.085886
7.325393,0.087968,0.112837
7.330393,0.075005,0.135781
7.335393,0.037226,0.091048
7.340393,0.000811,0.066745
7.345393,0.032742,0.010731
7.350393,0.0527,-0.00991
7.355393,0.055388,-0.033544
7.360393,0.096213,-0.053502
7.365393,0.147539,-0.046425
7.370393,0.201099,-0.0806
7.375393,0.189381,-0.08457
7.380393,0.191077,-0.153686
7.385393,0.189496,-0.141533
7.390393,0.169678,-0.101173
7.395393,0.148294,-0.095757
7.400393,0.113901,-0.06845
7.405393,0.112327,-0.092634
7.410393,0.112074,-0.086694
7.415393,0.126793,-0.101959
7.420393,0.132496,-0.094956
7.425393,0.152246,-0.070455
7.430393,0.173445,-0.065871
7.435393,0.179976,-0.070857
7.440393,0.184582,-0.083947
7.445393,0.17837,-0.071023
7.450393,0.16909,-0.080185
7.455393,0.141202,-0.104623
7.460393,0.104267,-0.114318
7.465393,0.077925,-0.100414
7.470393,0.062583,-0.0834
7.475393,0.053539,-0.061128
7.480393,0.034236,-0.000372
7.485393,0.022365,-0.051953
7.490393,0.042028,-0.179115
7.497643,0.049462,-0.188982
7.502643,0.076772,-0.202202
7.507643,0.106235,-0.184815
7.512643,0.107103,-0.127797
7.517643,0.084013,-0.081561
7.522643,0.057698,-0.040818
7.527643,0.043668,-0.05456
7.532643,-0.01294,-0.028695
7.537643,-0.055148,-0.001786
7.542643,-0.080102,0.020025
7.547643,-0.072788,-0.024092
7.552643,-0.059045,-0.114352
7.557643,-0.07098,-0.123483
7.562643,-0.057509,-0.050931
7.567643,-0.042722,0.059732
7.572643,-0.026742,0.064432
7.577643,-0.052711,0.009785
7.582643,-0.076937,-0.039963
7.587643,-0.084271,-0.028788
7.592643,-0.092976,-0.001409
7.597643,-0.108086,-0.025528
7.602643,-0.134608,-0.033323
7.607643,-0.124534,-0.026171
7.612643,-0.118463,0.033791
7.617643,-0.114608,0.032297
7.622643,-0.118951,-0.00823
7.627643,-0.11586,-0.005006
7.632643,-0.106396,0.040437
7.637643,-0.124133,0.089871
7.642643,-0.133631,0.074462
7.647643,-0.143057,0.055984
7.652643,-0.144251,0.051311
7.657643,-0.15929,0.079982
7.662643,-0.173475,0.086485
7.667643,-0.163007,0.057509
7.672643,-0.156404,0.039592
7.677643,-0.147529,0.039303
7.682643,-0.144329,0.059613
7.687643,-0.135788,0.06584
7.692643,-0.125164,0.064168
7.697643,-0.115862,0.039227
7.702643,-0.104736,0.031024
7.707643,-0.107786,0.046173
7.712643,-0.095731,0.016776
7.717643,-0.07126,0.051581
7.722643,-0.066662,0.18247
7.727643,-0.049279,0.199719
7.732643,-0.061011,0.18184
7.737643,-0.124414,0.17806
7.742643,-0.149829,0.136556
7.747643,-0.115092,0.12267
7.752643,-0.081959,0.103316
7.757643,-0.070932,0.097785
7.762643,-0.024556,0.059815
7.767643,0.030673,0.019633
7.772643,0.07462,-0.040876
7.777643,0.083172,-0.050209
7.782643,0.071788,0.010563
7.787643,0.088191,0.029702
7.792643,0.074885,0.009595
7.797643,0.050546,-0.022899
7.802643,0.025614,0.023726
7.807643,0.043891,0.07004
7.812643,0.057,0.098468
7.817643,0.060032,0.096253
7.822643,0.104041,0.086809
7.827643,0.156266,0.113704
7.832643,0.199897,0.079122
7.837643,0.186956,0.044046
7.842643,0.197596,-0.044388
7.847643,0.213602,-0.051257
7.852643,0.192363,-0.021126
7.857643,0.160726,-0.042233
7.862643,0.119024,-0.044458
7.867643,0.117673,-0.096806
7.872643,0.123096,-0.081428
7.877643,0.126519,-0.071882
7.882643,0.12183,-0.093693
7.887643,0.137658,-0.133001
7.892643,0.173735,-0.152979
7.897643,0.187183,-0.126339
7.902643,0.188264,-0.121988
7.907643,0.184185,-0.135408
7.912643,0.176808,-0.159331
7.917643,0.145171,-0.155761
7.922643,0.110169,-0.125961
7.927643,0.081942,-0.104166
7.932643,0.062286,-0.091338
7.937643,0.051407,-0.060965
7.942643,0.025107,-0.027241
7.947643,0.009063,-0.11
7.952643,0.03868,-0.271408
7.957643,0.045412,-0.30637
7.962643,0.063724,-0.290945
7.967643,0.105743,-0.254794
7.972643,0.116824,-0.188778
7.977643,0.096182,-0.164232
7.982643,0.066018,-0.135372
7.987643,0.054303,-0.100953
7.992643,0.003088,-0.025542
7.997643,-0.044647,0.041726
8.002643,-0.080962,0.057436
8.007643,-0.077224,0.014005
8.012643,-0.054374,-0.044268
8.017643,-0.061939,-0.091237
8.022643,-0.055372,-0.083758
8.027643,-0.047142,-0.021279
8.032643,-0.028897,-0.049971
8.037643,-0.050241,-0.073531
8.042643,-0.08677,-0.072459
8.047643,-0.106637,-0.0575
8.052643,-0.113881,-0.031264
8.057643,-0.12628,-0.031923
8.062643,-0.149997,-0.009099
8.067643,-0.139281,0.004045
8.072643,-0.130287,0.012065
8.077643,-0.125389,-0.033217
8.082643,-0.123373,-0.070936
8.087643,-0.125228,-0.068797
8.092643,-0.121839,-0.029786
8.097643,-0.134723,0.025775
8.102643,-0.136535,0.030736
8.107643,-0.147148,0.052085
8.112643,-0.147682,0.068239
8.117643,-0.158204,0.089542
8.122643,-0.169735,0.088545
8.127643,-0.161014,0.046457
8.132643,-0.159967,0.038733
8.137643,-0.153193,0.056982
8.142643,-0.15481,0.074729
8.147643,-0.143933,0.083109
8.152643,-0.128417,0.07825
8.157643,-0.117951,0.049877
8.162643,-0.108169,0.040225
8.167643,-0.110178,0.036727
8.172643,-0.089721,0.008463
8.177643,-0.060829,0.046896
8.182643,-0.059314,0.174808
8.187643,-0.046697,0.19138
8.192643,-0.055749,0.159889
8.197643,-0.113843,0.164036
8.202643,-0.140314,0.143605
8.207643,-0.117463,0.120204
8.212643,-0.09469,0.095437
8.217643,-0.091063,0.093822
8.222643,-0.051833,0.055985
8.227643,0.008329,0.039924
8.232643,0.071669,0.010352
8.237643,0.086824,-0.014644
8.242643,0.067126,-0.027299
8.247643,0.083203,-0.069718
8.252643,0.079922,-0.05735
8.257643,0.063135,-0.039971
8.262643,0.019854,0.016173
8.267643,0.021046,0.027723
8.272643,0.041,0.022499
8.277643,0.046418,0.022916
8.282643,0.092885,-0.005984
8.287643,0.141287,0.01537
8.292643,0.18317,-0.001942
8.297643,0.187753,0.012326
8.302643,0.200237,0.001739
8.307643,0.206405,0.048958
8.312643,0.177966,0.082558
8.317643,0.157117,0.014507
8.322643,0.129049,-0.029097
8.327643,0.127935,-0.07667
8.332643,0.124006,-0.055955
8.337643,0.123335,-0.063553
8.342643,0.121996,-0.104978
8.347643,0.144193,-0.128081
8.352643,0.187772,-0.129033
8.357643,0.199354,-0.119004
8.362643,0.18969,-0.135434
8.367643,0.177423,-0.142483
8.372643,0.167339,-0.136568
8.377643,0.139538,-0.119969
8.382643,0.105179,-0.115761
8.387643,0.07417,-0.115743
8.392643,0.06162,-0.083155
8.397643,0.055709,-0.036652
8.402643,0.033841,-0.06456
8.407643,0.023177,-0.162357
8.412643,0.046445,-0.295485
8.417643,0.047128,-0.329198
8.422643,0.070367,-0.294836
8.427643,0.115548,-0.252342
8.432643,0.121179,-0.189311
8.437643,0.09288,-0.166904
8.442643,0.062869,-0.131501
8.447643,0.055655,-0.122242
8.452643,0.003156,-0.088821
8.457643,-0.049124,-0.068133
8.462643,-0.070175,-0.045316
8.467643,-0.055496,-0.036924
8.472643,-0.031907,-0.049417
8.477643,-0.046523,-0.02965
8.482643,-0.044862,0.004099
8.487643,-0.038058,0.070158
8.492643,-0.017995,0.054044
8.497643,-0.039404,-0.001616
8.502643,-0.080658,-0.056373
8.507643,-0.103869,-0.073775
8.512643,-0.118435,-0.003016
8.517643,-0.133621,0.045984
8.522643,-0.161166,0.042289
8.527643,-0.149021,-0.007314
8.532643,-0.13629,0.004292
8.537643,-0.128696,0.040625
8.542643,-0.128074,0.052464
8.547643,-0.128288,0.039045
8.552643,-0.119738,-0.002644
8.557643,-0.123095,-0.018031
8.562643,-0.120802,-0.025093
8.567643,-0.136397,-0.005244
8.572643,-0.143295,0.009124
8.577643,-0.155913,0.027301
8.582643,-0.17421,0.03607
8.587643,-0.163377,0.0338
8.592643,-0.156542,0.048
8.597643,-0.146685,0.06496
8.602643,-0.141815,0.082114
8.607643,-0.133049,0.083934
8.612643,-0.12474,0.078786
8.617643,-0.121442,0.067395
8.622643,-0.110832,0.055249
8.627643,-0.109759,0.054979
8.632643,-0.089674,0.058591
8.637643,-0.069083,0.094568
8.642643,-0.068943,0.188635
8.647643,-0.04752,0.159651
8.652643,-0.041733,0.087021
8.657643,-0.098397,0.089684
8.662643,-0.136786,0.092256
8.667643,-0.113676,0.100136
8.672643,-0.089798,0.081809
8.677643,-0.08827,0.08582
8.682643,-0.041339,0.095391
8.687643,0.025877,0.135115
8.692643,0.082493,0.117294
8.697643,0.091252,0.052766
8.702643,0.072017,0.009893
8.707643,0.089914,-0.030601
8.712643,0.085336,-0.022912
8.717643,0.050547,-0.058182
8.722643,-0.004148,-0.073725
8.727643,0.010572,-0.040877
8.732643,0.046976,0.002453
8.737643,0.050619,0.015782
8.742643,0.090057,-0.019584
8.747643,0.13769,-0.016976
8.752643,0.191219,-0.032784
8.757643,0.193708,0.023467
8.762643,0.188139,0.022246
8.767643,0.19492,-0.003991
8.772643,0.172561,0.009361
8.777643,0.15569,-0.005464
8.782643,0.127269,0.030323
8.787643,0.122219,0.005054
8.792643,0.115107,0.00216
8.797643,0.114247,-0.01488
8.802643,0.113238,-0.032277
8.807643,0.130482,-0.029471
8.812643,0.173293,-0.056267
8.817643,0.18546,-0.065245
8.822643,0.188155,-0.087653
8.827643,0.187906,-0.099525
8.832643,0.184592,-0.100204
8.837643,0.159659,-0.10033
8.842643,0.118388,-0.100336
8.847643,0.086257,-0.091126
8.852643,0.073727,-0.057025
8.857643,0.064565,-0.018851
8.862643,0.035438,-0.063035
8.867643,0.015025,-0.149207
8.872643,0.033138,-0.252965
8.877643,0.036832,-0.255152
8.882643,0.054881,-0.200068
8.887643,0.102341,-0.207535
